"";"instante_actual";"instante_pasado_1";"instante_pasado_2";"instante_pasado_3";"instante_pasado_4";"instante_pasado_5";"instante_pasado_6"
"ocupantes_conteo_robus3";-0,109701007703868;-0,000933179765567379;-0,00333094346038079;0,002948451076576;0,00275542037763984;0,00476111887256983;-0,000698013154334994
"temperatura_exterior";1,01890468334385;0,00628963843517494;0,00793416291812598;0,000768939391148984;-0,00208487839371674;-0,00766893894073024;-0,00725580948841213
"energia_agua_refrigerada";-0,190441999431952;-0,0282937258872844;-0,0345434826892126;-0,0300621106728432;-0,0315765908126057;-0,0243950602103331;-0,00903494712095022
"radiacion_global_fachada";-0,0117794094938331;0,000367038933091705;0,000129145979560479;3,94070812866068e-05;2,72638710412126e-05;-4,5524340737403e-06;-0,000103249703640267
"temperatura_interior_1";NA;0,991645102876107;1,10727919121245;1,1187859861221;1,1041846853093;1,08026636680409;1,04752455276354
"ocupantes_conteo_robus3_1";NA;-0,00971798685959473;0,010170469284474;-0,00300926609854909;-0,00400934511152275;-0,00642330270729208;0,00424793227050643
"temperatura_exterior_1";NA;0,00343621827473488;0,00156105535667991;-0,00189160584000434;0,00235772853772778;0,0055418520627118;-0,00271793712329733
"energia_agua_refrigerada_1";NA;-0,00373408850719789;0,00555576806144207;-0,0140286382976721;-0,00827833790726664;-0,00878944211897481;-0,0117642029523692
"radiacion_global_fachada_1";NA;-0,000333429389264532;-0,000159747854303949;-2,52926092464487e-05;-3,46373983650537e-05;6,50336781029187e-06;-2,09260216307987e-05
"temperatura_interior_2";NA;NA;-0,119675174289047;-0,316696168726561;-0,292100597939986;-0,282635988592502;-0,283891263569391
"ocupantes_conteo_robus3_2";NA;NA;-0,0182663380036866;0,00430076708983165;0,00448189276447423;0,00368671628222112;-0,00457337023270457
"temperatura_exterior_2";NA;NA;0,00464178823947899;0,0293311999401314;0,0151374608628508;0,0182177205029011;0,0228263194451256
"energia_agua_refrigerada_2";NA;NA;0,00519437529927962;-0,0477688989356891;-0,0469096535857821;-0,0450827627372785;-0,0559604092517147
"radiacion_global_fachada_2";NA;NA;-0,000134212684575883;-0,000295614457932366;-0,000331539973638075;-0,000372493172709197;-0,000183799306015017
"temperatura_interior_3";NA;NA;NA;0,192932718545216;0,106789703019819;0,132284445551966;0,148958216329949
"ocupantes_conteo_robus3_3";NA;NA;NA;-0,0196599238860875;-0,0168842463218497;-0,0155455602907375;-0,0136931165616831
"temperatura_exterior_3";NA;NA;NA;-0,0210747067595778;-0,00144451365980857;-0,0153888621697325;-0,00728619774765926
"energia_agua_refrigerada_3";NA;NA;NA;0,103453664749554;0,111099148650489;0,11359113686396;0,106246302428152
"radiacion_global_fachada_3";NA;NA;NA;7,11757279116402e-05;0,000611754116186696;0,000660758541112467;0,000546923888249661
"temperatura_interior_4";NA;NA;NA;NA;0,0777120071618508;-0,0413970263300149;-0,0341237182433388
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;-1,66528399370324e-05;-0,0026893954113196;-0,00177356189015176
"temperatura_exterior_4";NA;NA;NA;NA;-0,00841187004766098;0,0171896620059582;-0,00134452996770059
"energia_agua_refrigerada_4";NA;NA;NA;NA;0,0020960597269942;0,0253144464881143;0,038812869209969
"radiacion_global_fachada_4";NA;NA;NA;NA;-0,000628441489150784;-0,000356607385533313;-0,000452104370704377
"temperatura_interior_5";NA;NA;NA;NA;NA;0,111445470636977;0,0111323104788621
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA;0,00433389896153416;0,0168425028133714
"temperatura_exterior_5";NA;NA;NA;NA;NA;-0,0156981559786081;0,00775765359558426
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA;-0,0302315751060086;0,0720807026109745
"radiacion_global_fachada_5";NA;NA;NA;NA;NA;-0,000377311710193231;-3,37908625720649e-05
"temperatura_interior_6";NA;NA;NA;NA;NA;NA;0,110638078960011
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA;NA;-0,0116143594624219
"temperatura_exterior_6";NA;NA;NA;NA;NA;NA;-0,00929328654667688
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA;NA;-0,148095900931565
"radiacion_global_fachada_6";NA;NA;NA;NA;NA;NA;-0,000417640400636246
"R2";0,997030795299745;0,999942120866685;0,999943791393209;0,999947338224387;0,999949821843382;0,999951005883398;0,999954677912528
"MAE";1,2224992930396;0,140130280571338;0,137253192146891;0,134826184102178;0,132638322663898;0,131812724281885;0,128337327208039
"Signif. parám. menos signif.";0,25032167705738;0,893214169168273;0,915593522022595;0,938277766726288;0,997205751789436;0,983899005665441;0,946433808175006
