"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7";"Iteración 8"
"(Intercept)";0;0;0;0;0;0;0;0
"ocupantes_conteo_robus3";-0,000698013154334994;-0,000303929285539421;-0,000808513175012556;-0,000538305559540981;-0,000437217427792234;-0,000602145015542064;-0,000278039605207526;-0,000249194369887065
"temperatura_exterior";-0,00725580948841213;-0,00784852555938768;-0,00703212470107487;-0,00739978112306569;-0,00788104383025682;-0,0118417990451145;0,00165476686567013;NA
"energia_agua_refrigerada";-0,00903494712095022;-0,00689651239282997;-0,00378422378319838;-0,00560850591914124;-0,00857110477589648;-0,00956388135179194;-0,010829105925841;-0,010568281209836
"radiacion_global_fachada";-0,000103249703640267;-7,88774949163792e-05;-8,51289718041955e-05;-6,67338718536717e-05;-3,2331994543105e-05;2,19234010965115e-05;-8,93425422050535e-05;-7,58178406935275e-05
"temperatura_interior_1";1,04752455276354;1,05351591302464;1,05957374709466;1,06125201063372;1,06093460576933;1,06222472697982;1,06498180632676;1,06493532779415
"ocupantes_conteo_robus3_1";0,00424793227050643;0,00327682636615571;0,00373824801325231;0,00355602452235846;0,00360878658989908;0,00388653043353456;0,003800114743377;0,00375009593739449
"temperatura_exterior_1";-0,00271793712329733;-0,0010087746844998;-0,00243401522602463;-0,00234604251310553;0,00127324991381548;0,0152818955918129;NA;NA
"energia_agua_refrigerada_1";-0,0117642029523692;-0,00857096486381185;-0,0088088704624089;-0,00984982168529354;-0,00721680868985281;-0,00722624804107948;-0,00834892585820592;-0,00822740190588472
"radiacion_global_fachada_1";-2,09260216307987e-05;-5,82747113445528e-05;-3,11493438120764e-05;-1,65864265343023e-05;-8,89292252097114e-05;-0,000198988484922356;-0,00016668444767653;-0,000156172919595869
"temperatura_interior_2";-0,283891263569391;-0,28370422879276;-0,287813448895726;-0,290063637961769;-0,290617931060031;-0,290393208479445;-0,290799952055836;-0,290920338307996
"ocupantes_conteo_robus3_2";-0,00457337023270457;-0,00405393340212727;-0,0031498676564546;-0,00289234059999605;-0,00309377790868219;-0,00297757078793825;-0,00327392511220417;-0,00325323272935146
"temperatura_exterior_2";0,0228263194451256;0,0209283801705741;0,0198390652538576;0,0226151165306474;0,0119144825046621;NA;NA;NA
"energia_agua_refrigerada_2";-0,0559604092517147;-0,0569674197425321;-0,0622304358799083;-0,0605859611269269;-0,0609029148797137;-0,0615906805922928;-0,0619243890550039;-0,0618231034891624
"radiacion_global_fachada_2";-0,000183799306015017;-0,000149227724964457;-8,17667563278401e-05;-0,000141608471536776;-5,53399991217748e-05;-4,33196748136853e-05;4,75835568313007e-05;4,92408511796011e-05
"temperatura_interior_3";0,148958216329949;0,146180109451;0,145346403216562;0,145815528038782;0,146034606108474;0,1467338854841;0,146136151241109;0,146179557920075
"ocupantes_conteo_robus3_3";-0,0136931165616831;-0,0126587373607029;-0,0130070345896869;-0,0133409058320296;-0,01343836591853;-0,013776128858753;-0,0136211788164549;-0,0136315526085229
"temperatura_exterior_3";-0,00728619774765926;-0,00864173473556253;0,000298397143507485;-0,00885098461888691;NA;NA;NA;NA
"energia_agua_refrigerada_3";0,106246302428152;0,101097000647675;0,10249547570646;0,102321565881456;0,102732704661286;0,102927830904511;0,101276021990171;0,101652371915329
"radiacion_global_fachada_3";0,000546923888249661;0,000622469062173112;0,000583231151246499;0,000671809749908754;0,000667385315953551;0,000737945029484939;0,000748256305453823;0,000748804821449031
"temperatura_interior_4";-0,0341237182433388;-0,0363673383526173;-0,0369475778019212;-0,0371169800244133;-0,0376674219159743;-0,0378603973704077;-0,036741984898092;-0,0367532044139965
"ocupantes_conteo_robus3_4";-0,00177356189015176;-0,00199737058462999;-0,00204581827665961;-0,00208763831489213;-0,00185476916985199;-0,00186029378625123;-0,00168898310526743;-0,00172295827290339
"temperatura_exterior_4";-0,00134452996770059;0,008287700897412;-0,00766193460018873;NA;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,038812869209969;0,0395927842980578;0,043617623051756;0,0443417984164643;0,044045119590918;0,0424510296926745;0,0423312664615887;0,0427820642184588
"radiacion_global_fachada_4";-0,000452104370704377;-0,000486082555975014;-0,000775423684909686;-0,000826833314374515;-0,00088254108989797;-0,000874690878285203;-0,000876197450622428;-0,00087471052506357
"temperatura_interior_5";0,0111323104788621;0,011205993000468;0,0113571952033733;0,0112891848100263;0,0115630356615431;0,0123698084436635;0,00685751804113627;0,00694726194183367
"ocupantes_conteo_robus3_5";0,0168425028133714;0,0166325843264131;0,0152524180896997;0,0152906061598429;0,015240489838711;0,0155360568046582;0,015624513327979;0,0155889901232139
"temperatura_exterior_5";0,00775765359558426;-0,0089929152772024;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,0720807026109745;0,0755363546018198;0,0597937599226324;0,0571398651454657;0,0577734435886357;0,057344075759589;0,0598685727758084;0,060027127579518
"radiacion_global_fachada_5";-3,37908625720649e-05;-0,000366729499937715;NA;NA;NA;NA;NA;NA
"temperatura_interior_6";0,110638078960011;0,109302282236304;0,108315252017251;0,107648014029418;0,107316009741451;0,106283194166963;0,110661409022557;0,11231784349938
"ocupantes_conteo_robus3_6";-0,0116143594624219;-0,0130746037671932;-0,0130980665309882;-0,0132241171096791;-0,0134161681829759;-0,0133098355229538;-0,0134227385808133;-0,0133543111268561
"temperatura_exterior_6";-0,00929328654667688;NA;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,148095900931565;-0,16846827536383;-0,173304534533524;-0,173233618598823;-0,17405798556545;-0,17118834181828;-0,168546865860201;-0,168437809601693
"radiacion_global_fachada_6";-0,000417640400636246;NA;NA;NA;NA;NA;NA;NA
"R2";0,999954677912528;0,999954419200109;0,999954206757405;0,99995417649397;0,999954138296868;0,999954067153042;0,999953936228406;0,999953929970402
